startgg_link,region_event,date,bracket_start_date,top8_start_date,other_url,twitch_url,youtube_url,notes,,
,Asia #1,,,,,,,"assume Top 8 is 2 hours after bracket starts, if no explicit date set",,#ERROR!
,Asia #2,TBD,,,,,,https://en.wikipedia.org/wiki/List_of_tz_database_time_zones,,
,Asia #3,TBD,,,,,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Date#date_time_string_format,,
,Asia #4,TBD,,,,,,,,
,Asia #5,TBD,,,,,,https://sf.esports.capcom.com/cpt/schedule/?tab=2,,
,Asia - Regional Final,TBD,,,,,,https://www.start.gg/league/world-warrior-2024-capcom-pro-tour/schedule/569844,,
,,,,,,,,,,
https://www.start.gg/tournament/spiritzero-x-world-warrior-2024-south-korea-1/details,South Korea #1,2024-06-28,2024-06-28T21:00+09:00,2024-06-29T00:00+09:00,https://bj.afreecatv.com/spiritzer0,,,,,
https://www.start.gg/tournament/spiritzero-x-world-warrior-2024-south-korea-2/details,South Korea #2,2024-07-26,2024-07-26T21:00+09:00,2024-07-27T00:00+09:00,https://bj.afreecatv.com/spiritzer0,,,,,
https://www.start.gg/tournament/spiritzero-x-world-warrior-2024-south-korea-3/details,South Korea #3,2024-08-30,2024-08-30T21:00+09:00,2024-08-31T00:00+09:00,https://bj.afreecatv.com/spiritzer0,,,,,
https://www.start.gg/tournament/spiritzero-x-world-warrior-2024-south-korea-4/details,South Korea #4,2024-09-20,2024-09-20T21:00+09:00,2024-09-21T00:00+09:00,https://bj.afreecatv.com/spiritzer0,,,,,
https://www.start.gg/tournament/spiritzero-x-world-warrior-2024-south-korea-5/details,South Korea #5,2024-10-25,2024-10-25T21:00+09:00,2024-10-26T00:00+09:00,https://bj.afreecatv.com/spiritzer0,,,,,
https://www.start.gg/tournament/spiritzero-x-world-warrior-2024-south-korea-final/details,South Korea - Regional Final,2024-11-29,2024-11-29T21:00+09:00,,https://bj.afreecatv.com/spiritzer0,,,,,
,,,,,,,,,,
https://www.start.gg/tournament/aubycup-world-warrior-2024-asia-east-1/details,Asia East #1,2024-07-06,2024-07-06T13:00+08:00,2024-07-06T19:00+08:00,,https://www.twitch.tv/firemanruby2,https://www.youtube.com/channel/UCVry0Zft52zCoF_pcXcTRVw,,,
